transaction_id,account_id,amount,transaction_type,posted_at,channel
100001,50101,2450.00,deposit,2026-07-01T09:12:00,branch
100002,50101,-82.44,debit,2026-07-02T14:31:00,card
100003,50122,1180.50,deposit,2026-07-02T08:02:00,mobile
100004,50137,-46.25,debit,2026-07-03T18:46:00,card
100005,50122,-120.00,withdrawal,2026-07-04T10:18:00,atm
100006,50148,3250.00,deposit,2026-07-05T11:42:00,ach
100007,50155,-230.15,payment,2026-07-05T17:21:00,online
100008,50161,940.00,deposit,2026-07-06T09:54:00,mobile
100009,50148,-64.12,debit,2026-07-07T12:05:00,card
100010,50170,5100.00,deposit,2026-07-08T08:39:00,wire
